,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
102,65.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.6385030933,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
103,80.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.9679636262,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
104,76.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-1.1248366925,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
105,89.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.2231552339,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
106,94.0,2.0922225525934945,-0.935601812799328,0.4578285562299093,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,-0.3897820659,0.5420201038,1.456183779,0.0139360078,0.5327356384,-1.3710013772
107,99.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-1.4924994747,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
108,80.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-0.0129073938,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
109,97.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.3805264227,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
110,98.0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.6761197134,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
111,99.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-0.6385030933,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
112,75.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.4458447233,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
113,95.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-0.3664814033,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
114,95.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.3805264227,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
115,81.0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.3805264227,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
116,95.0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.6761197134,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
117,89.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-0.3664814033,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
118,99.0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.2814715125,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
119,83.0,0.7463483959544044,0.1998520543469425,1.0873428210460347,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-0.2231552339,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
120,99.0,0.7463483959544044,-0.935601812799328,-0.8011999734023415,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,-0.3897820659,-0.2888419144,-0.7873765608,-0.2706577509,-0.8836936232,0.9408887464
